"state","year","inflation"
"District of Columbia",1999,1.7007640075
"District of Columbia",2000,2.9114074
"District of Columbia",2001,2.1623584
"District of Columbia",2002,1.61124765
"District of Columbia",2003,2.95865185
"District of Columbia",2004,2.40246425
"District of Columbia",2005,2.5393917
"District of Columbia",2006,3.4998483
"District of Columbia",2007,3.312682075
"District of Columbia",2008,4.031208925
"District of Columbia",2009,0.3902732415
"District of Columbia",2010,3.346639175
"District of Columbia",2011,2.732324625
"District of Columbia",2012,2.538499475
"District of Columbia",2013,1.4934651
"District of Columbia",2014,1.5483981545
"District of Columbia",2015,-0.9952719625
"District of Columbia",2016,1.026111795
"District of Columbia",2017,0.17405130575
"Florida",1978,9.336882525
"Florida",1979,7.448099625
"Florida",1980,7.14399635
"Florida",1981,7.550744175
"Florida",1982,5.0684653
"Florida",1983,3.0993504
"Florida",1984,2.964847925
"Florida",1985,2.292492525
"Florida",1986,-0.5701418355
"Florida",1989,3.833584975
"Florida",1990,3.867314475
"Florida",1991,2.841733675
"Florida",1992,1.4657598
"Florida",1993,2.061971425
"Florida",1994,1.99596945
"Florida",1995,2.64021925
"Florida",1996,2.50658965
"Florida",1997,1.78651675
"Florida",1998,0.7930476725
"Florida",1999,1.736231695
"Florida",2000,2.649823675
"Florida",2001,3.010870025
"Florida",2002,2.3758085
"Florida",2003,3.065988025
"Florida",2004,1.8085835
"Florida",2005,3.009895225
"Florida",2006,3.304995275
"Florida",2007,1.813476175
"Florida",2008,3.673886775
"Florida",2009,0.891299495
"Florida",2010,2.096578525
"Florida",2011,3.549580575
"Florida",2012,2.338571675
"Florida",2013,1.385033075
"Florida",2014,2.056063125
"Florida",2015,0.528121952
"Florida",2016,0.956650345
"Florida",2017,2.2567436
"Georgia",1978,4.7767248
"Georgia",1979,7.441795575
"Georgia",1980,9.38182425
"Georgia",1981,7.069431425
"Georgia",1982,3.5347618
"Georgia",1983,2.393429225
"Georgia",1984,3.0997411
"Georgia",1985,2.85856365
"Georgia",1986,0.7489797365
"Georgia",1989,4.988525375
"Georgia",1990,5.12299465
"Georgia",1991,2.401807425
"Georgia",1992,1.853540775
"Georgia",1993,2.281469775
"Georgia",1994,1.874750925
"Georgia",1995,2.83408505
"Georgia",1996,3.64983565
"Georgia",1997,1.938565825
"Georgia",1998,0.8332347625
"Georgia",1999,2.1538582
"Georgia",2000,2.9394403
"Georgia",2001,3.07807565
"Georgia",2002,1.4318165125
"Georgia",2003,1.774528925
"Georgia",2004,1.584913095
"Georgia",2005,2.99248655
"Georgia",2006,2.2870386875
"Georgia",2007,1.539052225
"Georgia",2008,3.201942275
"Georgia",2009,0.56322317
"Georgia",2010,2.185298225
"Georgia",2011,3.6984148
"Georgia",2012,1.3964269925
"Georgia",2013,0.6193003125
"Georgia",2014,1.687292575
"Georgia",2015,0.8556823
"Georgia",2016,1.1512215375
"Georgia",2017,2.036950325
"Hawaii",1978,6.7207769
"Hawaii",1979,7.1263858
"Hawaii",1980,7.28848555
"Hawaii",1981,6.951698175
"Hawaii",1982,4.7582643
"Hawaii",1983,2.4667618
"Hawaii",1984,2.680095025
"Hawaii",1985,2.5093252
"Hawaii",1986,2.3389842075
"Hawaii",1989,4.633833075
"Hawaii",1990,5.532509225
"Hawaii",1991,4.1882839
"Hawaii",1992,3.041644925
"Hawaii",1993,3.863976775
"Hawaii",1994,1.7991768
"Hawaii",1995,2.09304985
"Hawaii",1996,1.300561975
"Hawaii",1997,0.7283844325
"Hawaii",1998,-0.32348671
"Hawaii",1999,1.4620184
"Hawaii",2000,1.761386925
"Hawaii",2001,0.7086348175
"Hawaii",2002,0.5961391025
"Hawaii",2003,2.127671875
