,year,state,average_debt,inflation,overall_rpp,goods_rpp,housing_rpp,utilities_rpp,other_rpp,unemployment_rate,homeless_rate,drug_rate,poverty_rate
0,2017,Alaska,1.66,1.805090325,1.04864,1.0774299999999999,1.09381,1.2311400000000001,1.0179,6.50833333333333,0.002489935666540258,0.7904837222986222,0.0009703326527059326
1,2017,Alabama,1.45,1.199652405,0.90098,0.95451,0.6112,0.9370999999999999,0.99104,4.50833333333333,0.000777574529175855,0.8373764270481134,0.0009842170615800897
2,2017,Arkansas,1.28,4.019182125,0.88607,0.945,0.5764,0.8314900000000001,0.98283,3.74166666666667,0.0008212779911147508,0.8285090325598273,0.0009724171106794436
3,2017,California,1.78,1.749092425,1.10925,1.04455,1.6252099999999998,1.30675,1.03145,4.83333333333333,0.003343655470179625,0.840084641267931,0.0009977684305305956
4,2017,Colorado,1.78,2.19968155,1.0295699999999999,0.99613,1.28891,0.86072,0.98725,2.60833333333333,0.0019475129245253293,0.8413896697434641,0.000983903467445292
5,2017,Connecticut,1.45,2.3597645,1.0718,1.04396,1.21266,1.4459899999999999,1.04358,4.41666666666667,0.0009476064267182499,0.8573016039944912,0.0009937560903571256
6,2017,Florida,1.66,2.2567436,1.00871,0.9836100000000001,1.10486,0.87468,1.00122,4.3,0.00153453131652347,0.8604314926632575,0.000996801796474239
7,2017,Georgia,1.45,2.036950325,0.95292,0.97128,0.81732,0.99438,0.98634,4.75833333333333,0.0009766698399956764,0.8287434298697969,0.0009820456519712766
8,2017,Illinois,1.175,0.82275484675,1.0028,1.00041,0.99946,0.9142100000000001,1.0094400000000001,4.95,0.0008449210020772474,0.837779236492825,0.0009859237475618927
9,2017,Indiana,1.28,2.655847525,0.90884,0.9589799999999999,0.72821,0.88232,0.9401999999999999,3.49166666666667,0.000816263058257586,0.8333714095983409,0.0009804763325742096
10,2017,Kansas,1.175,0.7603087275,0.91563,0.9583499999999999,0.7316800000000001,0.9688500000000001,0.94801,3.61666666666667,0.0007856698221713482,0.8172058599219758,0.0009852649978082319
11,2017,Louisiana,1.36,1.47128556,0.92392,0.95792,0.70993,0.7781199999999999,0.9927800000000001,5.10833333333333,0.0007071525971115224,0.8192719088391507,0.000970328904054691
12,2017,Massachusetts,1.28,2.70499215,1.0725799999999999,1.03926,1.30601,1.4884700000000002,1.02986,3.79166666666667,0.0025591675457051445,0.8631833917092587,0.0009884083478544662
13,2017,Maryland,1.95,1.765439525,1.0674299999999999,1.01974,1.27739,1.08742,1.03771,4.0,0.0012021858648688013,0.8393785460501716,0.0009915088884118704
14,2017,Michigan,1.175,0.73917593,0.92704,0.97345,0.80999,1.01172,0.93305,4.575,0.0009072090796684131,0.8486832187469429,0.0009918057500076178
15,2017,Minnesota,1.28,1.119059765,0.96765,1.00157,0.95366,0.90617,0.9555400000000001,3.48333333333333,0.0013768379161195436,0.8391142989142408,0.0010089270019138909
16,2017,Missouri,1.28,2.27836155,0.91718,0.96014,0.70611,0.89974,0.96273,3.74166666666667,0.0009878289395099176,0.8343719963831422,0.0009798111131001138
17,2017,Mississippi,1.36,0.3368525525,0.8780800000000001,0.9377500000000001,0.59061,0.8717400000000001,0.96917,5.23333333333333,0.0004921967422728121,0.8198011551911041,0.0009857309756931046
18,2017,North Carolina,1.55,2.937679125,0.9305599999999999,0.9565,0.7548900000000001,0.85359,0.98942,4.525,0.0008721497723087678,0.838393041175162,0.0010023591446976466
19,2017,New Jersey,1.55,0.73525561313,1.09323,1.01818,1.4054499999999999,1.1057899999999998,1.06479,4.53333333333333,0.0009603801557287475,0.8522186908024811,0.0010142721536896273
20,2017,New York,0.7550000000000001,1.65626565,1.09945,1.0834000000000001,1.3096100000000002,1.28576,1.0547499999999999,4.63333333333333,0.00456791312416463,0.8538482663615505,0.001007459024513254
21,2017,Ohio,1.175,1.2906272925,0.91938,0.95309,0.74959,0.89005,0.9543699999999999,4.96666666666667,0.0008653569702510933,0.8402105281926358,0.0009849382454863854
22,2017,Oklahoma,1.28,1.9683689475,0.90916,0.9547100000000001,0.6605,0.83628,0.98661,4.03333333333333,0.0010674694592894757,0.8177273654019903,0.0009703574484658081
23,2017,Oregon,1.66,3.322564075,1.01486,1.00258,1.10216,0.94523,0.9998999999999999,4.05833333333333,0.003364362401122274,0.8558894064418872,0.0010131907696922379
24,2017,Pennsylvania,1.28,1.3359517,0.99123,1.00011,0.87854,1.08436,1.01516,4.975,0.0011049905980447029,0.8496737589118102,0.0009824396532339733
25,2017,South Carolina,1.66,2.046322675,0.92868,0.9558,0.7401099999999999,0.9453199999999999,0.99063,4.2,0.0007789776296562114,0.840873529122743,0.000985657342938337
26,2017,Tennessee,1.36,1.780488325,0.93074,0.95562,0.75141,0.8211499999999999,0.99012,3.75,0.0012374254402399017,0.840635866007183,0.0009976547146668794
27,2017,Texas,1.175,1.716565675,0.97372,0.9704200000000001,0.95244,0.8802800000000001,0.98836,4.34166666666667,0.0008323488043416173,0.8168020712152377,0.0009928944247475807
28,2017,Utah,1.66,-2.7827847225,0.98708,0.99187,0.95623,0.8512000000000001,1.0022,3.16666666666667,0.000918950617681744,0.8005931935789453,0.0010085257480167808
29,2017,Virginia,1.95,2.150088725,1.01267,0.98661,1.10864,0.91547,1.00624,3.66666666666667,0.0007162073098476676,0.8317723823047803,0.0009729653284596136
30,2017,Washington,1.66,2.77161675,1.0745099999999999,1.0581399999999999,1.25501,0.92706,1.04296,4.64166666666667,0.002842237381479765,0.841300649398468,0.0009996027168192143
