year,state_fips,low,high,states,average_debt
2000,40,0.4,1.11,Oklahoma,0.7550000000000001
2000,41,1.4,1.5,Oregon,1.45
2000,42,0.4,1.11,Pennsylvania,0.7550000000000001
2000,44,1.11,1.24,Rhode Island,1.175
2000,45,1.32,1.4,South Carolina,1.3599999999999999
2000,46,0.4,1.11,South Dakota,0.7550000000000001
2000,47,1.11,1.24,Tennessee,1.175
2000,48,0.4,1.11,Texas,0.7550000000000001
2000,49,1.32,1.4,Utah,1.3599999999999999
2000,50,1.11,1.24,Vermont,1.175
2000,51,1.32,1.4,Virginia,1.3599999999999999
2000,53,1.4,1.5,Washington,1.45
2000,54,0.4,1.11,West Virginia,0.7550000000000001
2000,55,0.4,1.11,Wisconsin,0.7550000000000001
2000,56,1.11,1.24,Wyoming,1.175
2000,01,1.11,1.24,Alabama,1.175
2000,02,1.32,1.4,Alaska,1.3599999999999999
2000,04,1.4,1.5,Arizona,1.45
2000,05,0.4,1.11,Arkansas,0.7550000000000001
2000,06,1.5,1.6,California,1.55
2000,08,1.32,1.4,Colorado,1.3599999999999999
2000,09,0.4,1.11,Connecticut,0.7550000000000001
2000,10,1.11,1.24,Delaware,1.175
2000,11,0.4,1.11,None,0.7550000000000001
2000,12,1.4,1.5,Florida,1.45
2000,13,1.24,1.32,Georgia,1.28
2000,15,1.84,2.06,Hawaii,1.9500000000000002
2000,16,1.4,1.5,Idaho,1.45
2000,17,0.4,1.11,Illinois,0.7550000000000001
2000,18,0.4,1.11,Indiana,0.7550000000000001
2000,19,0.4,1.11,Iowa,0.7550000000000001
2000,20,0.4,1.11,Kansas,0.7550000000000001
2000,21,1.11,1.24,Kentucky,1.175
2000,22,0.4,1.11,Louisiana,0.7550000000000001
2000,23,1.11,1.24,Maine,1.175
2000,24,1.6,1.72,Maryland,1.6600000000000001
2000,25,0.4,1.11,Massachusetts,0.7550000000000001
2000,26,1.11,1.24,Michigan,1.175
2000,27,0.4,1.11,Minnesota,0.7550000000000001
2000,28,1.11,1.24,Mississippi,1.175
2000,29,0.4,1.11,Missouri,0.7550000000000001
2000,30,1.4,1.5,Montana,1.45
2000,31,0.4,1.11,Nebraska,0.7550000000000001
2000,32,1.4,1.5,Nevada,1.45
2000,33,1.11,1.24,New Hampshire,1.175
2000,34,0.4,1.11,New Jersey,0.7550000000000001
2000,35,1.4,1.5,New Mexico,1.45
2000,36,0.4,1.11,New York,0.7550000000000001
2000,37,1.24,1.32,North Carolina,1.28
2000,38,0.4,1.11,North Dakota,0.7550000000000001
2000,39,1.11,1.24,Ohio,1.175
2000,40,0.4,1.11,Oklahoma,0.7550000000000001
2000,41,1.4,1.5,Oregon,1.45
2000,42,0.4,1.11,Pennsylvania,0.7550000000000001
2000,44,1.24,1.32,Rhode Island,1.28
2000,45,1.32,1.4,South Carolina,1.3599999999999999
2000,46,0.4,1.11,South Dakota,0.7550000000000001
2000,47,1.11,1.24,Tennessee,1.175
2000,48,0.4,1.11,Texas,0.7550000000000001
2000,49,1.4,1.5,Utah,1.45
2000,50,0.4,1.11,Vermont,0.7550000000000001
2000,51,1.4,1.5,Virginia,1.45
2000,53,1.5,1.6,Washington,1.55
2000,54,0.4,1.11,West Virginia,0.7550000000000001
2000,55,0.4,1.11,Wisconsin,0.7550000000000001
2000,56,1.11,1.24,Wyoming,1.175
2000,01,1.24,1.32,Alabama,1.28
2000,02,1.32,1.4,Alaska,1.3599999999999999
2000,04,1.4,1.5,Arizona,1.45
2000,05,0.4,1.11,Arkansas,0.7550000000000001
2000,06,1.6,1.72,California,1.6600000000000001
2000,08,1.4,1.5,Colorado,1.45
2000,09,0.4,1.11,Connecticut,0.7550000000000001
2000,10,0.4,1.11,Delaware,0.7550000000000001
2000,11,0.4,1.11,None,0.7550000000000001
2000,12,1.5,1.6,Florida,1.55
2000,13,1.32,1.4,Georgia,1.3599999999999999
2000,15,1.84,2.06,Hawaii,1.9500000000000002
2000,16,1.5,1.6,Idaho,1.55
2000,17,0.4,1.11,Illinois,0.7550000000000001
2000,18,1.11,1.24,Indiana,1.175
2000,19,0.4,1.11,Iowa,0.7550000000000001
2000,20,0.4,1.11,Kansas,0.7550000000000001
2000,21,1.11,1.24,Kentucky,1.175
2000,22,1.11,1.24,Louisiana,1.175
2000,23,1.24,1.32,Maine,1.28
2000,24,1.6,1.72,Maryland,1.6600000000000001
2000,25,0.4,1.11,Massachusetts,0.7550000000000001
2000,26,1.11,1.24,Michigan,1.175
2000,27,0.4,1.11,Minnesota,0.7550000000000001
2000,28,1.24,1.32,Mississippi,1.28
2000,29,0.4,1.11,Missouri,0.7550000000000001
2000,30,1.5,1.6,Montana,1.55
2000,31,0.4,1.11,Nebraska,0.7550000000000001
2000,32,1.5,1.6,Nevada,1.55
2000,33,1.11,1.24,New Hampshire,1.175
2000,34,0.4,1.11,New Jersey,0.7550000000000001
2000,35,1.5,1.6,New Mexico,1.55
2000,36,0.4,1.11,New York,0.7550000000000001
2000,37,1.32,1.4,North Carolina,1.3599999999999999
2000,38,0.4,1.11,North Dakota,0.7550000000000001
2000,39,1.11,1.24,Ohio,1.175
2000,40,0.4,1.11,Oklahoma,0.7550000000000001
2000,41,1.5,1.6,Oregon,1.55
2000,42,0.4,1.11,Pennsylvania,0.7550000000000001
2000,44,1.24,1.32,Rhode Island,1.28
2000,45,1.32,1.4,South Carolina,1.3599999999999999
2000,46,0.4,1.11,South Dakota,0.7550000000000001
2000,47,1.11,1.24,Tennessee,1.175
2000,48,0.4,1.11,Texas,0.7550000000000001
2000,49,1.5,1.6,Utah,1.55
2000,50,1.11,1.24,Vermont,1.175
2000,51,1.4,1.5,Virginia,1.45
2000,53,1.6,1.72,Washington,1.6600000000000001
2000,54,1.11,1.24,West Virginia,1.175
2000,55,0.4,1.11,Wisconsin,0.7550000000000001
2000,56,1.11,1.24,Wyoming,1.175
2001,01,1.24,1.32,Alabama,1.28
2001,02,1.11,1.24,Alaska,1.175
2001,04,1.5,1.6,Arizona,1.55
2001,05,0.4,1.11,Arkansas,0.7550000000000001
2001,06,1.6,1.72,California,1.6600000000000001
2001,08,1.5,1.6,Colorado,1.55
2001,09,0.4,1.11,Connecticut,0.7550000000000001
2001,10,1.11,1.24,Delaware,1.175
2001,11,0.4,1.11,None,0.7550000000000001
2001,12,1.5,1.6,Florida,1.55
2001,13,1.4,1.5,Georgia,1.45
2001,15,1.72,1.84,Hawaii,1.78
2001,16,1.6,1.72,Idaho,1.6600000000000001
2001,17,1.11,1.24,Illinois,1.175
2001,18,1.11,1.24,Indiana,1.175
2001,19,0.4,1.11,Iowa,0.7550000000000001
2001,20,0.4,1.11,Kansas,0.7550000000000001
2001,21,0.4,1.11,Kentucky,0.7550000000000001
2001,22,0.4,1.11,Louisiana,0.7550000000000001
2001,23,1.24,1.32,Maine,1.28
2001,24,1.6,1.72,Maryland,1.6600000000000001
2001,25,0.4,1.11,Massachusetts,0.7550000000000001
2001,26,1.11,1.24,Michigan,1.175
2001,27,1.11,1.24,Minnesota,1.175
2001,28,1.24,1.32,Mississippi,1.28
2001,29,0.4,1.11,Missouri,0.7550000000000001
2001,30,1.5,1.6,Montana,1.55
2001,31,0.4,1.11,Nebraska,0.7550000000000001
2001,32,1.5,1.6,Nevada,1.55
2001,33,1.11,1.24,New Hampshire,1.175
2001,34,1.11,1.24,New Jersey,1.175
2001,35,1.5,1.6,New Mexico,1.55
2001,36,0.4,1.11,New York,0.7550000000000001
2001,37,1.32,1.4,North Carolina,1.3599999999999999
2001,38,0.4,1.11,North Dakota,0.7550000000000001
2001,39,1.11,1.24,Ohio,1.175
2001,40,0.4,1.11,Oklahoma,0.7550000000000001
2001,41,1.5,1.6,Oregon,1.55
2001,42,0.4,1.11,Pennsylvania,0.7550000000000001
2001,44,1.24,1.32,Rhode Island,1.28
2001,45,1.4,1.5,South Carolina,1.45
2001,46,0.4,1.11,South Dakota,0.7550000000000001
2001,47,1.24,1.32,Tennessee,1.28
2001,48,0.4,1.11,Texas,0.7550000000000001
2001,49,1.5,1.6,Utah,1.55
2001,50,1.11,1.24,Vermont,1.175
2001,51,1.4,1.5,Virginia,1.45
2001,53,1.6,1.72,Washington,1.6600000000000001
2001,54,1.11,1.24,West Virginia,1.175
2001,55,0.4,1.11,Wisconsin,0.7550000000000001
2001,56,1.11,1.24,Wyoming,1.175
2001,01,1.11,1.24,Alabama,1.175
2001,02,0.4,1.11,Alaska,0.7550000000000001
2001,04,1.4,1.5,Arizona,1.45
2001,05,0.4,1.11,Arkansas,0.7550000000000001
2001,06,1.5,1.6,California,1.55
2001,08,1.32,1.4,Colorado,1.3599999999999999
2001,09,0.4,1.11,Connecticut,0.7550000000000001
